height,time_utc,difficulty,bits,phase,notes
57794,2026-08-28T15:32:00Z,3023000,1a058cb3,pre-burst,"UI timestamp rounded to minute"
57798,2026-08-28T15:52:00Z,3491000,1a04ce31,pre-burst,"difficulty rising gradually"
57799,2026-08-28T16:01:00Z,3738000,1a047cf8,pre-burst,"UI timestamp rounded to minute"
57808,2026-08-28T16:15:00Z,5393000,1a031c56,attack-start-window,"closely matches developer-stated ~5.4M attack-start difficulty"
57809,2026-08-28T16:15:00Z,5626000,1a02fb63,burst,"rapid production"
57810,2026-08-28T16:16:00Z,5860000,1a02dcf5,burst,"rapid production"
57811,2026-08-28T16:16:00Z,6712000,1a027fe3,burst,"difficulty tightening"
57812,2026-08-28T16:16:00Z,8022000,1a021762,burst,"difficulty tightening"
57813,2026-08-28T16:16:00Z,9087000,1a01d89e,burst,"difficulty tightening"
57814,2026-08-28T16:16:00Z,10285000,1a01a199,burst,"difficulty tightening"
57815,2026-08-28T16:17:00Z,12612000,1a01548c,burst,"difficulty tightening"
57816,2026-08-28T16:19:00Z,50447000,19552300,burst,"large upward adjustment"
57817,2026-08-28T16:30:00Z,201788000,191548c0,burst-peak,"highest sampled difficulty"
57818,2026-08-28T16:31:03Z,175468222.7571142,19187a10,post-burst-stall,"exact UNIX timestamp captured"
57819,2026-08-28T20:35:02Z,5558197.561155626,1a0304b7,recovery,"first captured recovery block; exact UNIX timestamp; 14639 seconds after 57818"
